venue,ticker,pr_open,pr_high,pr_low,pr_close,volume,turnover,valid_time
MOEX,USD000UTSTOM,60.26,60.6425,60.2,60.6425,379000,22860127,2022-11-14 04:00:00+00:00
MOEX,USD000UTSTOM,60.46,60.55,60.4575,60.55,226000,13663987,2022-11-14 04:02:00+00:00
MOEX,USD000UTSTOM,60.45,60.6175,60.37,60.6175,54000,3263290,2022-11-14 04:03:00+00:00
MOEX,USD000UTSTOM,60.4,60.4,60.36,60.36,50000,3018120,2022-11-14 04:04:00+00:00
MOEX,USD000UTSTOM,60.3975,60.47,60.3975,60.4225,270000,16310922,2022-11-14 04:05:00+00:00
MOEX,USD000UTSTOM,60.47,60.47,60.4,60.47,28000,1691632,2022-11-14 04:06:00+00:00
MOEX,USD000UTSTOM,60.47,60.4825,60.3925,60.3925,163000,9845955,2022-11-14 04:07:00+00:00
MOEX,USD000UTSTOM,60.3925,60.4975,60.3925,60.4975,30000,1814115,2022-11-14 04:08:00+00:00
MOEX,USD000UTSTOM,60.4,60.4,60.3925,60.3925,2000,120792,2022-11-14 04:09:00+00:00
MOEX,USD000UTSTOM,60.3875,60.4625,60.3875,60.4625,223000,13468512,2022-11-14 04:10:00+00:00
MOEX,USD000UTSTOM,60.375,60.435,60.375,60.435,187000,11297157,2022-11-14 04:11:00+00:00
MOEX,USD000UTSTOM,60.42,60.48,60.3175,60.48,104000,6288927,2022-11-14 04:12:00+00:00
MOEX,USD000UTSTOM,60.48,60.4975,60.395,60.395,153000,9250937,2022-11-14 04:13:00+00:00
MOEX,USD000UTSTOM,60.3425,60.39,60.3425,60.39,149000,8995997,2022-11-14 04:14:00+00:00
MOEX,USD000UTSTOM,60.4275,60.4975,60.37,60.4225,601000,36306610,2022-11-14 04:15:00+00:00
MOEX,USD000UTSTOM,60.445,60.4525,60.3975,60.3975,252000,15230317,2022-11-14 04:16:00+00:00
MOEX,USD000UTSTOM,60.42,60.4325,60.3975,60.4,154000,9302750,2022-11-14 04:17:00+00:00
MOEX,USD000UTSTOM,60.4325,60.5475,60.4325,60.5475,125000,7565167,2022-11-14 04:18:00+00:00
MOEX,USD000UTSTOM,60.455,60.4675,60.455,60.4675,34000,2055630,2022-11-14 04:19:00+00:00
MOEX,USD000UTSTOM,60.4775,60.48,60.4275,60.4275,504000,30469907,2022-11-14 04:20:00+00:00
MOEX,USD000UTSTOM,60.4275,60.4275,60.4,60.4,159000,9604985,2022-11-14 04:21:00+00:00
MOEX,USD000UTSTOM,60.3025,60.3725,60.3,60.3725,956000,57655175,2022-11-14 04:22:00+00:00
MOEX,USD000UTSTOM,60.3475,60.3475,60.3425,60.3475,350000,21121250,2022-11-14 04:23:00+00:00
MOEX,USD000UTSTOM,60.35,60.35,60.35,60.35,91000,5491850,2022-11-14 04:24:00+00:00
MOEX,USD000UTSTOM,60.3175,60.35,60.3,60.3425,683000,41192592,2022-11-14 04:25:00+00:00
MOEX,USD000UTSTOM,60.3,60.3,60.3,60.3,3000,180900,2022-11-14 04:26:00+00:00
MOEX,USD000UTSTOM,60.3025,60.3025,60.3,60.3,454000,27376332,2022-11-14 04:29:00+00:00
MOEX,USD000UTSTOM,60.3175,60.3175,60.31,60.31,100000,6031565,2022-11-14 04:32:00+00:00
